"","samplename","mouse","day","tissue","VSG","Percent","RPKM","hit_VSG","pct_id_vs_query","pct_id_vs_match","match_VSG_length","assembled_VSG_length","strain","mode"
"1","M12_D6_Brain","M12","D6","Brain","TRINITY_DN145_c0_g1_i1_1_88_1489_RC_M12_D6_Brain",0.972926208893,6526.16846979,"gnl|BL_ORD_ID|2624 Tbb1125VSG-53 : Complete : 1401nt : MC : contig Illumina-169",99.7144896502,99.7144896502,1401,1401,"WT","IV"
"2","M12_D6_Brain","M12","D6","Brain","TRINITY_DN72_c0_g1_i1_1_88_1012_M12_D6_Brain",0.0871728280411,584.735570473,"gnl|BL_ORD_ID|3 Tb427VSG-4 : GB Accession V01387 : 1581nt : Complete : contig90001.",98.5930735931,57.6217583808,1581,924,"WT","IV"
"3","M12_D6_Brain","M12","D6","Brain","TRINITY_DN170_c0_g1_i1_1_174_1566_M12_D6_Brain",0.141566015328,949.592741138,"gnl|BL_ORD_ID|2971 Tbb1125VSG-421 : Complete : 1392nt : contig PacBio-2904",99.7844827586,99.7844827586,1392,1392,"WT","IV"
"4","M12_D6_Brain","M12","D6","Brain","TRINITY_DN1_c0_g1_i1_1_150_1662_RC_M12_D6_Brain",98.4210862455,660186.336792,"gnl|BL_ORD_ID|4884 Tbb1125VSG-4156 : N-terminus partial : 1521nt : contig PacBio-117",87.3015873016,86.7850098619,1521,1512,"WT","IV"
"5","M12_D6_Brain","M12","D6","Brain","TRINITY_DN32_c0_g1_i1_1_47_1445_M12_D6_Brain",0.377248702238,2530.49878121,"gnl|BL_ORD_ID|3833 Tbb1125VSG-1707 : Complete but extended : 1491nt : contig PacBio-287",99.7138769671,93.4942991281,1491,1398,"WT","IV"
"6","M12_D6_Ear","M12","D6","Ear","TRINITY_DN60_c0_g1_i1_1_1_925_M12_D6_Ear",0.019580121318,132.979637128,"gnl|BL_ORD_ID|3833 Tbb1125VSG-1707 : Complete but extended : 1491nt : contig PacBio-287",94.696969697,58.6854460094,1491,924,"WT","IV"
"7","M12_D6_Ear","M12","D6","Ear","TRINITY_DN84_c0_g1_i1_1_1122_2729_M12_D6_Ear",1.03083614844,7000.98915278,"gnl|BL_ORD_ID|4826 Tbb1125VSG-4098 : Complete but atypical GPI site : 1551nt : contig PacBio-2378",82.3895457374,85.364281109,1551,1607,"WT","IV"
"8","M12_D6_Ear","M12","D6","Ear","TRINITY_DN24_c0_g1_i1_1_66_1398_M12_D6_Ear",0.0285476998758,193.88351628,"gnl|BL_ORD_ID|5298 Tbb1125VSG-4859 : Complete : 1332nt : contig PacBio-24",98.9489489489,98.9489489489,1332,1332,"WT","IV"
"9","M12_D6_Ear","M12","D6","Ear","TRINITY_DN127_c0_g1_i1_1_2_1545_RC_M12_D6_Ear",0.00877903380112,59.6233654657,"gnl|BL_ORD_ID|3015 Tbb1125VSG-468 : Complete almost : 1512nt : contig Illumina-7758",97.796500324,100,1509,1543,"WT","IV"
"10","M12_D6_Ear","M12","D6","Ear","TRINITY_DN43_c0_g1_i1_1_141_1449_RC_M12_D6_Ear",0.0155693338009,105.740119049,"gnl|BL_ORD_ID|2610 Tbb1125VSG-38 : Complete : 1512nt : MC : contig Illumina-848",99.7706422018,86.3095238095,1512,1308,"WT","IV"
